,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,Dog Rating,retweet_count,full_text,favorite_count,display_text_range,created_at,jpg_url,Breed Prediction 1,Conf level 1
15,889278841981685760,2017-07-24 00:19:32,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,doggo,5637.0,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,25652.0,"[0, 138]",2017-07-24 00:19:32,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,0.626152
16,888917238123831296,2017-07-23 00:22:39,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,doggo,4709.0,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,29611.0,"[0, 86]",2017-07-23 00:22:39,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Golden retriever,0.714719
17,888804989199671297,2017-07-22 16:56:37,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13,10,Zeke,doggo,4559.0,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,26080.0,"[0, 128]",2017-07-22 16:56:37,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Golden retriever,0.46976
18,888554962724278272,2017-07-22 00:23:06,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,doggo,3732.0,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,20290.0,"[0, 87]",2017-07-22 00:23:06,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian husky,0.700377
20,888078434458587136,2017-07-20 16:49:33,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12,10,Gerald,doggo,3653.0,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,22201.0,"[0, 127]",2017-07-20 16:49:33,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French bulldog,0.995026
21,887705289381826560,2017-07-19 16:06:48,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,Jeffrey,doggo,5609.0,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,30779.0,"[0, 127]",2017-07-19 16:06:48,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,Basset,0.821664
25,887101392804085760,2017-07-18 00:07:08,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12,10,None,doggo,6167.0,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,31061.0,"[0, 129]",2017-07-18 00:07:08,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Samoyed,0.733942
27,886736880519319552,2017-07-16 23:58:41,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",13,10,Mingus,doggo,3443.0,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",12306.0,"[0, 121]",2017-07-16 23:58:41,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,Kuvasz,0.309706
29,886366144734445568,2017-07-15 23:25:31,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",12,10,Roscoe,doggo,3316.0,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,21524.0,"[0, 131]",2017-07-15 23:25:31,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,French bulldog,0.999201
33,885984800019947520,2017-07-14 22:10:11,https://twitter.com/dog_rates/status/885984800019947520/photo/1,12,10,Jimbo,doggo,7097.0,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,33382.0,"[0, 140]",2017-07-14 22:10:11,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,Blenheim spaniel,0.972494
34,885528943205470208,2017-07-13 15:58:47,https://twitter.com/dog_rates/status/885528943205470208/photo/1,13,10,Maisey,doggo,6683.0,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,36689.0,"[0, 109]",2017-07-13 15:58:47,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,Pug,0.369275
37,885167619883638784,2017-07-12 16:03:00,"https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1",13,10,None,doggo,4556.0,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,22367.0,"[0, 134]",2017-07-12 16:03:00,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,Malamute,0.8124819999999999
38,884925521741709313,2017-07-12 00:01:00,https://twitter.com/dog_rates/status/884925521741709313/photo/1,12,10,Earl,doggo,16439.0,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",68152.0,"[0, 93]",2017-07-12 00:01:00,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,Italian greyhound,0.259916
39,884876753390489601,2017-07-11 20:47:12,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",13,10,Lola,doggo,6096.0,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,28514.0,"[0, 118]",2017-07-11 20:47:12,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,Chow,0.822103
40,884562892145688576,2017-07-11 00:00:02,https://twitter.com/dog_rates/status/884562892145688576/photo/1,13,10,Kevin,doggo,5100.0,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,24765.0,"[0, 66]",2017-07-11 00:00:02,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,Pug,0.5464060000000001
41,884441805382717440,2017-07-10 15:58:53,https://twitter.com/dog_rates/status/884441805382717440/photo/1,14,10,None,doggo,5856.0,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",27478.0,"[0, 136]",2017-07-10 15:58:53,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,Pembroke,0.993225
43,884162670584377345,2017-07-09 21:29:42,https://twitter.com/dog_rates/status/884162670584377345/photo/1,12,10,Yogi,doggo,3128.0,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,20771.0,"[0, 140]",2017-07-09 21:29:42,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,German shepherd,0.707046
44,883838122936631299,2017-07-09 00:00:04,https://twitter.com/dog_rates/status/883838122936631299/photo/1,12,10,Noah,doggo,3586.0,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,22349.0,"[0, 137]",2017-07-09 00:00:04,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,Doberman,0.610946
45,883482846933004288,2017-07-08 00:28:19,"https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",5,10,Bella,doggo,10407.0,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",46860.0,"[0, 112]",2017-07-08 00:28:19,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,Golden retriever,0.943082
46,883360690899218434,2017-07-07 16:22:55,https://twitter.com/dog_rates/status/883360690899218434/photo/1,13,10,Grizzwald,doggo,3825.0,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,22986.0,"[0, 139]",2017-07-07 16:22:55,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,Chow,0.987997
47,883117836046086144,2017-07-07 00:17:54,"https://twitter.com/dog_rates/status/883117836046086144/photo/1,https://twitter.com/dog_rates/status/883117836046086144/photo/1",13,10,None,doggo,6949.0,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat https://t.co/Se5fZ9wp5E",37914.0,"[0, 111]",2017-07-07 00:17:54,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,Golden retriever,0.949562
49,882762694511734784,2017-07-06 00:46:41,https://twitter.com/dog_rates/status/882762694511734784/photo/1,12,10,Gus,doggo,5134.0,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,28903.0,"[0, 114]",2017-07-06 00:46:41,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,Labrador retriever,0.85005
50,882627270321602560,2017-07-05 15:48:34,https://twitter.com/dog_rates/status/882627270321602560/photo/1,13,10,Stanley,doggo,6342.0,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,28382.0,"[0, 136]",2017-07-05 15:48:34,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,Pembroke,0.542982
51,882268110199369728,2017-07-04 16:01:23,"https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1",13,10,Alfy,doggo,12118.0,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,45880.0,"[0, 114]",2017-07-04 16:01:23,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,Golden retriever,0.762211
54,881666595344535552,2017-07-03 00:11:11,https://twitter.com/dog_rates/status/881666595344535552/photo/1,13,10,Gary,doggo,11099.0,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,51522.0,"[0, 115]",2017-07-03 00:11:11,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,Saluki,0.529012
59,880872448815771648,2017-06-30 19:35:32,https://twitter.com/dog_rates/status/880872448815771648/photo/1,12,10,None,doggo,3989.0,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 https://t.co/WiAMbTkDPf,21734.0,"[0, 137]",2017-06-30 19:35:32,https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg,Pembroke,0.791416
60,880465832366813184,2017-06-29 16:39:47,"https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1",12,10,Bella,doggo,6546.0,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,29075.0,"[0, 114]",2017-06-29 16:39:47,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,Golden retriever,0.913255
62,880095782870896641,2017-06-28 16:09:20,https://twitter.com/dog_rates/status/880095782870896641/photo/1,11,10,None,doggo,4533.0,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 https://t.co/HauE8M3Bu4,28150.0,"[0, 129]",2017-06-28 16:09:20,https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg,Miniature pinscher,0.120298
63,879862464715927552,2017-06-28 00:42:13,"https://twitter.com/dog_rates/status/879862464715927552/photo/1,https://twitter.com/dog_rates/status/879862464715927552/photo/1,https://twitter.com/dog_rates/status/879862464715927552/photo/1",13,10,Romeo,doggo,3642.0,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,22667.0,"[0, 91]",2017-06-28 00:42:13,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,Basset,0.813507
66,879415818425184262,2017-06-26 19:07:24,https://twitter.com/dog_rates/status/879415818425184262/video/1,13,10,Duddles,doggo,45849.0,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,107956.0,"[0, 82]",2017-06-26 19:07:24,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,English springer,0.383404
70,879008229531029506,2017-06-25 16:07:47,https://twitter.com/dog_rates/status/879008229531029506/photo/1,13,10,Beau,doggo,2812.0,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,19317.0,"[0, 94]",2017-06-25 16:07:47,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,Vizsla,0.960513
71,878776093423087618,2017-06-25 00:45:22,"https://twitter.com/dog_rates/status/878776093423087618/photo/1,https://twitter.com/dog_rates/status/878776093423087618/photo/1",13,10,Snoopy,doggo,4319.0,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth https://t.co/lNZwgNO4gS,19763.0,"[0, 126]",2017-06-25 00:45:22,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,Italian greyhound,0.734684
75,878281511006478336,2017-06-23 16:00:04,"https://www.gofundme.com/3yd6y1c,https://twitter.com/dog_rates/status/878281511006478336/photo/1",13,10,Shadow,doggo,1349.0,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

https://t.co/245xJJElsY https://t.co/lUiQH219v6",7913.0,"[0, 140]",2017-06-23 16:00:04,https://pbs.twimg.com/media/DDBIX9QVYAAohGa.jpg,Basset,0.32042
76,878057613040115712,2017-06-23 01:10:23,"https://twitter.com/dog_rates/status/878057613040115712/photo/1,https://twitter.com/dog_rates/status/878057613040115712/photo/1",14,10,Emmy,doggo,7181.0,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,42876.0,"[0, 115]",2017-06-23 01:10:23,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,French bulldog,0.839097
77,877736472329191424,2017-06-22 03:54:17,"https://twitter.com/dog_rates/status/877736472329191424/photo/1,https://twitter.com/dog_rates/status/877736472329191424/photo/1",13,10,Aja,doggo,17300.0,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,71144.0,"[0, 93]",2017-06-22 03:54:17,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,Chesapeake bay retriever,0.8379559999999999
78,877611172832227328,2017-06-21 19:36:23,"https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1,https://twitter.com/rachel2195/status/876850772322988033/photo/1",14,10,None,doggo,,,,,,https://pbs.twimg.com/media/DCszHgmW0AAmIpT.jpg,Irish setter,0.364729
80,877316821321428993,2017-06-21 00:06:44,"https://twitter.com/dog_rates/status/877316821321428993/photo/1,https://twitter.com/dog_rates/status/877316821321428993/photo/1",13,10,Dante,doggo,5414.0,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy https://t.co/SHRTIo5pxc",27907.0,"[0, 137]",2017-06-21 00:06:44,https://pbs.twimg.com/media/DCza_vtXkAQXGpC.jpg,Saluki,0.5099670000000001
81,877201837425926144,2017-06-20 16:29:50,"https://twitter.com/dog_rates/status/877201837425926144/photo/1,https://twitter.com/dog_rates/status/877201837425926144/photo/1",12,10,Nelly,doggo,5880.0,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop https://t.co/4g4cfj3P4Y,27755.0,"[0, 128]",2017-06-20 16:29:50,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,Pembroke,0.93112
82,876838120628539392,2017-06-19 16:24:33,"https://twitter.com/dog_rates/status/876838120628539392/photo/1,https://twitter.com/dog_rates/status/876838120628539392/photo/1",12,10,Ginger,doggo,3506.0,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately https://t.co/j211oCDRs6,21125.0,"[0, 125]",2017-06-19 16:24:33,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,Bloodhound,0.575751
84,876484053909872640,2017-06-18 16:57:37,https://twitter.com/dog_rates/status/876484053909872640/photo/1,13,10,Benedict,doggo,2511.0,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy https://t.co/26BXueUgbs,19163.0,"[0, 127]",2017-06-18 16:57:37,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,Golden retriever,0.874566
85,876120275196170240,2017-06-17 16:52:05,https://twitter.com/dog_rates/status/876120275196170240/photo/1,13,10,Venti,doggo,4903.0,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite https://t.co/ejExJFq3ek",28490.0,"[0, 140]",2017-06-17 16:52:05,https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,Bernese mountain dog,0.534327
86,875747767867523072,2017-06-16 16:11:53,https://twitter.com/dog_rates/status/875747767867523072/photo/1,13,10,Goose,doggo,4497.0,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl https://t.co/V2WlACRJCN",25773.0,"[0, 125]",2017-06-16 16:11:53,https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,Labrador retriever,0.799551
89,875021211251597312,2017-06-14 16:04:48,"https://twitter.com/dog_rates/status/875021211251597312/photo/1,https://twitter.com/dog_rates/status/875021211251597312/photo/1",12,10,None,doggo,4922.0,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brCQoqc8AW,26022.0,"[0, 115]",2017-06-14 16:04:48,https://pbs.twimg.com/media/DCSzF3NVoAAPzT4.jpg,West highland white terrier,0.7143189999999999
90,874680097055178752,2017-06-13 17:29:20,https://twitter.com/dog_rates/status/874680097055178752/photo/1,12,10,Cash,doggo,4875.0,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,28439.0,"[0, 92]",2017-06-13 17:29:20,https://pbs.twimg.com/media/DCN85nGUwAAzG_q.jpg,Labrador retriever,0.836052
92,874296783580663808,2017-06-12 16:06:11,https://twitter.com/dog_rates/status/874296783580663808/photo/1,13,10,Jed,doggo,4308.0,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,26651.0,"[0, 114]",2017-06-12 16:06:11,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,Cocker spaniel,0.437216
93,874057562936811520,2017-06-12 00:15:36,https://twitter.com/dog_rates/status/874057562936811520/photo/1,12,10,None,doggo,4125.0,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10 https://t.co/pwY9PQhtP2",23134.0,"[0, 129]",2017-06-12 00:15:36,https://pbs.twimg.com/media/DCFGtdoXkAEsqIw.jpg,Flat-coated retriever,0.8321770000000001
94,874012996292530176,2017-06-11 21:18:31,"https://twitter.com/dog_rates/status/874012996292530176/photo/1,https://twitter.com/dog_rates/status/874012996292530176/photo/1",13,10,Sebastian,doggo,11007.0,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo https://t.co/XBE0evJZ6V",35501.0,"[0, 139]",2017-06-11 21:18:31,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,Cardigan,0.806674
96,873580283840344065,2017-06-10 16:39:04,https://twitter.com/dog_rates/status/873580283840344065/photo/1,13,10,None,doggo,4143.0,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly https://t.co/mNuMH9400n",24837.0,"[0, 135]",2017-06-10 16:39:04,https://pbs.twimg.com/media/DB-UotKXkAEHXVi.jpg,Newfoundland,0.678537
98,873213775632977920,2017-06-09 16:22:42,"https://www.gofundme.com/help-my-baby-sierra-get-better,https://twitter.com/dog_rates/status/873213775632977920/photo/1,https://twitter.com/dog_rates/status/873213775632977920/photo/1",12,10,Sierra,doggo,1667.0,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD https://t.co/V5lkvrGLdQ",7467.0,"[0, 140]",2017-06-09 16:22:42,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,Vizsla,0.6197819999999999
99,872967104147763200,2017-06-09 00:02:31,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",12,10,None,doggo,5669.0,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo https://t.co/EMYIdoblMR,28031.0,"[0, 132]",2017-06-09 00:02:31,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,Labrador retriever,0.476913
100,872820683541237760,2017-06-08 14:20:41,"https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1",13,10,None,doggo,3884.0,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 https://t.co/17FVMl4VZ5",15029.0,"[0, 140]",2017-06-08 14:20:41,https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg,Pug,0.99912
